"Schema","Table","RowCount","Category","Phase","Status","ReadBy","WriteBy","Seeds"
"system","system_config","11","Configuration","INSTALLATION","SEEDED_AND_READ","MonitoringRepository;SystemRepository","",""
"templates","categories","12","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"templates","event_template_mapping","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_approval_workflow","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_localizations","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_outputs","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_package_members","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_packages","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_partials","5","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"templates","template_render_history","0","Historical","RUNTIME","RUNTIME_OK (expected empty)","","",""
"templates","template_render_jobs","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"templates","template_usage_statistics","0","Reporting","RUNTIME","RUNTIME_OK (expected empty)","","",""
"templates","template_validation_tests","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"templates","template_variables","44","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"templates","template_version_audit","4","Historical","RUNTIME","RUNTIME_ACCUMULATED (unread)","","",""
"templates","template_versions","13","Historical","RUNTIME","RUNTIME_ACCUMULATED (unread)","","",""
"templates","templates","12","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"workflow","workflow_actions","489","Workflow","COMMITTEE_WORKFLOW","WRITE_ONLY (runtime target)","","WorkflowRepository","07-workflow-instances.sql;53-yemen-applications.sql"
"workflow","workflow_comments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"workflow","workflow_escalations","0","Workflow","COMMITTEE_WORKFLOW","MISSING_DATA","","",""
"workflow","workflow_events","0","Workflow","COMMITTEE_WORKFLOW","MISSING_DATA","","",""
"workflow","workflow_history","30","Historical","RUNTIME","SEEDED_AND_READ","WorkflowRepository","WorkflowRepository",""
"workflow","workflow_instances","98","Workflow","COMMITTEE_WORKFLOW","SEEDED_AND_READ","WorkflowRepository","WorkflowRepository","07-workflow-instances.sql;40-init-workflow-idempotent.sql;51-accreditation-workflow.sql;53-yemen-applications.sql"
"workflow","workflow_schedulers","0","Workflow","COMMITTEE_WORKFLOW","MISSING_DATA","","",""
"workflow","workflow_sla","0","Configuration","INSTALLATION","MISSING_DATA","WorkflowRepository","","20-remaining-core-data.sql"
"workflow","workflow_states","14","Workflow","COMMITTEE_WORKFLOW","SEEDED_AND_READ","WorkflowRepository","","05-workflow.sql;36-workflow-add-states.sql;51-accreditation-workflow.sql"
"workflow","workflow_tasks","0","Workflow","COMMITTEE_WORKFLOW","MISSING_DATA","","",""
"workflow","workflow_transitions","32","Workflow","COMMITTEE_WORKFLOW","SEEDED_AND_READ","WorkflowRepository","","05-workflow.sql;37-workflow-add-transitions.sql;51-accreditation-workflow.sql"
"workflow","workflow_triggers","0","Workflow","COMMITTEE_WORKFLOW","MISSING_DATA","","",""
"workflow","workflow_variables","0","Configuration","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"workflow","workflows","1","Workflow","COMMITTEE_WORKFLOW","SEEDED_AND_READ","WorkflowRepository","","05-workflow.sql;51-accreditation-workflow.sql"
